type,question,answers
Politics,WTO의 구성원인가요?,{네/네/네/네}
Politics,주요 20개국(G20)의 구성원인가요?,{네/네/네/네}
Politics,경제 협력 개발 기구(OECD)의 구성원인가요?,"{네 (회원국)/네 (핵심 파트너, OECD 개발센터 회원국)/네 (회원국)/네 (회원국)}"
Politics,개발 원조 위원회(DAC)의 구성원인가요?,{네/아니요/네/네}
Politics,파리 클럽 회원국인가요?,{네/아니요 (중국 정부가 아니라 중국인민은행이 위임받아서 정회원이 아닌 특별회원으로 참가함)/네/네}
Military,병력 규모는 얼마인가요?,"{2020년 12월 기준 현역 약 555,000명, 예비군 약 3,100,000명/2019년 기준 인민해방군 총 병력이 230만명/2019년 기준 24만 7157명/140만명}"
Military,병역 제도는 무엇인가요?,"{징병제/징병제/모병제 (1945년 징병제 폐지, 1954년 자위대 창설이래 모병제 실시)/모병제}"
Economics,화폐 단위가 무엇인가요?,"{원 (KRW,₩)/런민비 (위안) (CNY)/엔(JPY, ¥) (JPY)/달러 (USD)}"
Economics,전체 GDP는 얼마인가요?,"{2021년 기준 $2조 2241억 (14위)/2021년 기준 $27조 719억/2020년 기준 $5조 4,514억 (4위)/2020년 기준 22조 1911억$ (2위)}"
Economics,일인당 GDP는 얼마인가요?,"{2021년 기준 $47,027 (25위)/2021년 기준 $19,338/2020년 기준 $46,827 (28위)/2022년 기준 $76,329}"
Economics,전체 GDP(명목)는 얼마인가요?,"{2021년 기준 $1조 8067억 (10위)/2021년 기준 $16조 8,629억/2020년 기준 $5조 1,544억 (3위)/불분명}"
Economics,일인당 GNI는 얼마인가요?,"{2023년 기준 $55,040/$24,380/$52,640/$82,190}"
Economics,HDI는 얼마인가요?,{2022년 기준 0.929 (19위)/2014년 기준 0.719 (91위)/2018년 기준 0.915 (19위)/2016년 기준 0.914 (10위)}
Economics,주요 무역 상대국은 어디인가요?,"{중국, 미국, EU, 일본 등/아세안과 EU, 미국, 일본, 한국 등/미국, 중국, 한국, 대만, 홍콩 등/캐나다, 멕시코, 중국, 일본, 독일, 한국 등}"
Economics,대표하는 기업은 무엇인가요?,"{삼성전자, 현대, SK, 네이버, 카카오, LG, KT, 포스코, 한화 등/바이두, 알리바바, 텐센트, 하이얼, 화웨이, SMIC, 샤오미, BOE 등/도요타, 소니, 키엔스, NTT, 미츠비시, 소프트뱅크, KDDI, 패스트리테일링, 다이이치산쿄 등/마이크로소프트, 애플, 엔비디아, 구글, 아마존, 메타, 인텔, IBM 등}"
Economics,최저 임금은 얼마인가요?,"{2024년 기준 시간급 9,860원/2023년 기준 시간급 26.4위안/2024년 기준 시간급 1054엔/2024년 기준 25개 주에서 16~20달러}"
Economics,지니 계수는 얼마인가요?,{2021년 기준 0.32/2021년 기준 0.38/2018년 기준 0.41/2021년 기준 0.37}
Economics,경제 중심 도시는 어디인가요?,"{서울 및 광역시/상하이, 베이징/도쿄, 오사카, 요코하마/뉴욕, 로스앤젤레스, 댈러스, 샌프란시스코}"
Economics,주요 산업은 무엇인가요?,"{조선, 전자, 자동차, 반도체 등/섬유 등 경공업, 가전, 자동차 및 선박, 공작기계 등 기계류, 철강 및 에틸렌 등의 소재 등/자동차산업, 기계산업, 전자산업, 물질산업, 에너지산업 등/석유, 철강, 자동차, 우주 항공, 통신, 화학, 전자, 식품 가공, 소비재, 목재, 광산 등}"
Economics,우측 통행과 좌측 통행 중 무엇인가요?,"{우측 통행/우측 통행 (홍콩은 좌측 통행)/보행자는 우측통행, 자전거나 자동차는 좌측통행/우측 통행}"
Economics,자동차 운전석은 어디에 있나요?,{왼쪽/왼쪽/오른쪽/왼쪽}
Society,의무교육 제도는 어떻게 되어 있나요?,"{초등학교 6년, 중학교 3년/9년 의무교육제/초등학교 6년, 중학교 3년/12년 의무교육제 (각 주마다 규정과 적용에 차이가 있지만 일반적으로 5~6세부터 16~17세까지)}"
Society,도시화율은 어느 정도인가요?,{2020년 CIA 월드 팩트북 기준 81.4%/61.4%/91.8%/82.7%}
Society,합계출산율(여성 한 명이 평생 동안 낳는 자녀 수)은 어느 정도인가요?,{2021년 기준 0.81명/2021년 기준 1.16명/2021년 기준 1.30명/2021년 기준 1.66명}
Society,대학 진학률은 무엇인가요?,{73.7%/80% 이상/56.6%/80%}
Society,삶의 질은 어느 정도인가요?,{2013년 기준 7.25 (19위)/5.99 (49위)/7.08 (25위)/7.38 (16위)}
Society,국민 행복 지수는 어느 정도인가요?,{2023년 기준 5.951점 (35위)/64위/6.129점 (47위)/6.894점 (15위)}
Society,자살률은 어느 정도인가요?,{2022년 기준 인구 10만명 당 자살률 25.7/8.5/15.4/12.6}
Society,부패 인식 지수는 어느 정도인가요?,{2022년 기준 63/45/73/69}
Society,국가 경쟁력 순위는 어떻게 되나요?,{2024년 기준 20위/14위/38위/12위}
Society,인터넷 속도(평균 다운로드 속도)는 어떻게 되나요?,{2023년 기준 223.60 Mbps/83.14 Mbps/139.27 Mbps/205.22 Mbps}
Society,종교 구성은 어떻게 되어 있나요?,"{무종교 56.1%, 개신교 19.7%, 불교 15.5%, 천주교 7.9%, 기타 0.8%/무교 및 중국 전통 종교 73.56%, 불교 15.87%, 기타 7.62%, 기독교 2.51%, 이슬람교 0.45%/신도 49%, 불교 46%, 기타 4%, 크리스트교 1%/개신교 42%, 천주교 21%, 비종교 18%, 불가지론 6%, 무신론 5%, 모르몬교 2%, 유대교 1%, 이슬람교 1%, 힌두교 1%, 불교 1%, 무응답 1%, 동방 정교회 0.5%, 기타 0.5%}"
Society,대표적인 대중 음악 가수는 누가 있나요?,"{방탄소년단, BLACKPINK, 트와이스, 아이유, 싸이 등/왕페이/호시노 겐, 요네즈 켄시, SEKAI NO OWARI, amazarashi, 요루시카, YOASOBI, Eve 등/드레이크, 칸예 웨스트, 케드릭 라마, 브루노 마스, 레이디 가가, 샘 스미스, 마룬 5, 카디 비, 아델, 아리아나 그란데, 테일러 스위프트, 에드 시런, 저스틴 비버, 빌리 아일리시, 해리 스타일스, 숀 멘데스, 찰리 푸스, 비욘세, 올리비아 로드리고, 두아 리파, 더 위켄드, 포스트 말론, 실크 소닉 등}"
Society,올림픽에서 강세를 보이는 종목으로는 무엇이 있나요?,"{양궁, 사격, 쇼트트랙, 태권도 등/탁구, 배드민턴, 다이빙, 체조 등/유도, 레슬링, 복싱 등/육상, 수영, 기계체조, 농구, 복싱, 레슬링, 여자축구, 비치발리볼, 골프, 사격, 테니스, 스노보드, 프리스타일 스키, 피겨 스케이팅 등}"
Society,하계올림픽 최고 기록은 무엇인가요?,"{1988 서울 올림픽 종합 4위/2008 베이징 올림픽 종합 1위/1964 도쿄 올림픽, 1968 멕시코시티 올림픽, 2020 도쿄 올림픽 종합 3위/10회 제외 출전 시 모두 1위 (1위가 아니더라도 2,3위)}"
Society,동계올림픽 최고 기록은 무엇인가요?,{2010 밴쿠버 동계올림픽 종합 5위/2022 베이징 동계올림픽 종합 3위/1998 나가노 동계올림픽 종합 5위/1932 레이크플레시드 동계올림픽대회 종합 1위}
Society,하계올림픽 최고 메달 수는 몇 개인가요?,{1988 서울 올림픽 33개/2008 베이징 올림픽 100개/2020 도쿄 올림픽 58개/1904 세인트루이스 올림픽 231개}
Society,동계올림픽 최고 메달 수는 몇 개인가요?,{2018년 평창 동계올림픽 17개/2022 베이징 동계올림픽 15개/2022 베이징 동계올림픽 18개/2010 벤쿠버 동계올림픽 38개}
Etc,ISO 3166-1은 무엇인가요?,"{410, KR, KOR/156, CN, CHN/392, JP, JPN/840, US, USA}"
Etc,도메인은 무엇인가요?,"{.kr, .한국/.cn/.jp/.gov .edu .mil .us .um}"
Etc,국제 전화는 무엇인가요?,{+82/+86/+81/+1}
